,start,end,country,type,subtype,killed,total_affected,est_damage,disaster_n,location
825,1993-12-06 00:00:00,1993-12-06 00:00:00,Philippines,Storm,Tropical cyclone,311.0,1159802.0,50.0,1993-0087, Masbate
825,1993-12-06 00:00:00,1993-12-06 00:00:00,Philippines,Storm,Tropical cyclone,311.0,1159802.0,50.0,1993-0087, Sorgoson
825,1993-12-06 00:00:00,1993-12-06 00:00:00,Philippines,Storm,Tropical cyclone,311.0,1159802.0,50.0,1993-0087, Occidental Mindoro
825,1993-12-06 00:00:00,1993-12-06 00:00:00,Philippines,Storm,Tropical cyclone,311.0,1159802.0,50.0,1993-0087, Romblon
826,1993-11-20 00:00:00,1993-11-23 00:00:00,Philippines,Storm,Tropical cyclone,1.0,,2.0,1993-0088,
829,1993-12-26 00:00:00,1993-12-26 00:00:00,Philippines,Storm,Tropical cyclone,52.0,366224.0,17.0,1993-0228,Capiz
829,1993-12-26 00:00:00,1993-12-26 00:00:00,Philippines,Storm,Tropical cyclone,52.0,366224.0,17.0,1993-0228, iloilo
829,1993-12-26 00:00:00,1993-12-26 00:00:00,Philippines,Storm,Tropical cyclone,52.0,366224.0,17.0,1993-0228, Negros Oriental
829,1993-12-26 00:00:00,1993-12-26 00:00:00,Philippines,Storm,Tropical cyclone,52.0,366224.0,17.0,1993-0228, Bohol
829,1993-12-26 00:00:00,1993-12-26 00:00:00,Philippines,Storm,Tropical cyclone,52.0,366224.0,17.0,1993-0228, Cebu
829,1993-12-26 00:00:00,1993-12-26 00:00:00,Philippines,Storm,Tropical cyclone,52.0,366224.0,17.0,1993-0228, Agusan del Norte
829,1993-12-26 00:00:00,1993-12-26 00:00:00,Philippines,Storm,Tropical cyclone,52.0,366224.0,17.0,1993-0228, Cagayan de Oro
829,1993-12-26 00:00:00,1993-12-26 00:00:00,Philippines,Storm,Tropical cyclone,52.0,366224.0,17.0,1993-0228, Caniguin
829,1993-12-26 00:00:00,1993-12-26 00:00:00,Philippines,Storm,Tropical cyclone,52.0,366224.0,17.0,1993-0228, Southern Leyte
829,1993-12-26 00:00:00,1993-12-26 00:00:00,Philippines,Storm,Tropical cyclone,52.0,366224.0,17.0,1993-0228, Surigao del Norte
829,1993-12-26 00:00:00,1993-12-26 00:00:00,Philippines,Storm,Tropical cyclone,52.0,366224.0,17.0,1993-0228, Davao del Norte
829,1993-12-26 00:00:00,1993-12-26 00:00:00,Philippines,Storm,Tropical cyclone,52.0,366224.0,17.0,1993-0228, Misamis Oriental
846,1994-05-02 00:00:00,1994-05-02 00:00:00,Bangladesh,Storm,Tropical cyclone,130.0,653559.0,125.0,1994-0044,St. Martins
846,1994-05-02 00:00:00,1994-05-02 00:00:00,Bangladesh,Storm,Tropical cyclone,130.0,653559.0,125.0,1994-0044, Teknaf Upazila
846,1994-05-02 00:00:00,1994-05-02 00:00:00,Bangladesh,Storm,Tropical cyclone,130.0,653559.0,125.0,1994-0044, Ukhia Upazila 
846,1994-05-02 00:00:00,1994-05-02 00:00:00,Bangladesh,Storm,Tropical cyclone,130.0,653559.0,125.0,1994-0044, Near Cox's Bazar
846,1994-05-02 00:00:00,1994-05-02 00:00:00,Bangladesh,Storm,Tropical cyclone,130.0,653559.0,125.0,1994-0044, Kutubdia Isl.
846,1994-05-02 00:00:00,1994-05-02 00:00:00,Bangladesh,Storm,Tropical cyclone,130.0,653559.0,125.0,1994-0044, Moheskhali Isl.
846,1994-05-02 00:00:00,1994-05-02 00:00:00,Bangladesh,Storm,Tropical cyclone,130.0,653559.0,125.0,1994-0044, Bandarban
847,1994-03-28 00:00:00,1994-03-28 00:00:00,Bangladesh,Storm,Tropical cyclone,40.0,150.0,2.5,1994-0087,Mymensingh
847,1994-03-28 00:00:00,1994-03-28 00:00:00,Bangladesh,Storm,Tropical cyclone,40.0,150.0,2.5,1994-0087, Chittagong 
847,1994-03-28 00:00:00,1994-03-28 00:00:00,Bangladesh,Storm,Tropical cyclone,40.0,150.0,2.5,1994-0087,North East
847,1994-03-28 00:00:00,1994-03-28 00:00:00,Bangladesh,Storm,Tropical cyclone,40.0,150.0,2.5,1994-0087,Southern Bangladesh
855,00/5/1994,00/5/1994,Bhutan,Storm,Tropical cyclone,17.0,65000.0,,1994-0344,
867,1994-11-13 00:00:00,1994-11-18 00:00:00,Cuba,Storm,Tropical cyclone,2.0,110558.0,101.968,1994-0505,Guatanamo province
877,1994-10-31 00:00:00,1994-11-04 00:00:00,India,Storm,Tropical cyclone,208.0,428500.0,19.1,1994-0352,Tamil Nadu
877,1994-10-31 00:00:00,1994-11-04 00:00:00,India,Storm,Tropical cyclone,208.0,428500.0,19.1,1994-0352, Andhra Pradesh
877,1994-10-31 00:00:00,1994-11-04 00:00:00,India,Storm,Tropical cyclone,208.0,428500.0,19.1,1994-0352, Karnataka states
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009,1
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, Vatomandry
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, Anosibe
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, An'Ala
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, Fandriana
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, Ambatofinandrahana
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, Beroroha
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, Ankazoabo
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, Toliara II
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, Ampaniy
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, Beloha
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, 
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009,2
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, Toamisina
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, Brickaville
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, Moramanga
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, Fenoarivo Be
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, Tsiroanomandity
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, Miandrivazo
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, Belo
900,1994-01-13 00:00:00,1994-01-13 00:00:00,Madagascar,Storm,Tropical cyclone,200.0,540043.0,10.0,1994-0009, Tsiribinina
901,1994-03-23 00:00:00,1994-03-23 00:00:00,Madagascar,Storm,Tropical cyclone,12.0,8.0,0.2,1994-0036,Vohemar
901,1994-03-23 00:00:00,1994-03-23 00:00:00,Madagascar,Storm,Tropical cyclone,12.0,8.0,0.2,1994-0036, Ambiloe
901,1994-03-23 00:00:00,1994-03-23 00:00:00,Madagascar,Storm,Tropical cyclone,12.0,8.0,0.2,1994-0036, Ambanja Provinces
902,1994-03-16 00:00:00,1994-03-16 00:00:00,Madagascar,Storm,Tropical cyclone,,,,1994-0037,Brickaville
902,1994-03-16 00:00:00,1994-03-16 00:00:00,Madagascar,Storm,Tropical cyclone,,,,1994-0037, Tamatave
902,1994-03-16 00:00:00,1994-03-16 00:00:00,Madagascar,Storm,Tropical cyclone,,,,1994-0037, Nosy Varika
902,1994-03-16 00:00:00,1994-03-16 00:00:00,Madagascar,Storm,Tropical cyclone,,,,1994-0037, Mananjary
902,1994-03-16 00:00:00,1994-03-16 00:00:00,Madagascar,Storm,Tropical cyclone,,,,1994-0037, Vatomandry
903,1994-03-26 00:00:00,1994-03-26 00:00:00,Mozambique,Storm,Tropical cyclone,240.0,2502000.0,,1994-0035,Nampula
903,1994-03-26 00:00:00,1994-03-26 00:00:00,Mozambique,Storm,Tropical cyclone,240.0,2502000.0,,1994-0035, Zambesia
903,1994-03-26 00:00:00,1994-03-26 00:00:00,Mozambique,Storm,Tropical cyclone,240.0,2502000.0,,1994-0035, Manica
903,1994-03-26 00:00:00,1994-03-26 00:00:00,Mozambique,Storm,Tropical cyclone,240.0,2502000.0,,1994-0035, Sofala
904,1994-05-02 00:00:00,1994-05-02 00:00:00,Myanmar,Storm,Tropical cyclone,17.0,64970.0,10.0,1994-0615,Maungdaw
904,1994-05-02 00:00:00,1994-05-02 00:00:00,Myanmar,Storm,Tropical cyclone,17.0,64970.0,10.0,1994-0615, Buthidaung
904,1994-05-02 00:00:00,1994-05-02 00:00:00,Myanmar,Storm,Tropical cyclone,17.0,64970.0,10.0,1994-0615, Rakhine State
912,1994-04-09 00:00:00,1994-04-09 00:00:00,Philippines,Storm,Tropical cyclone,15.0,105746.0,,1994-0034,Negros Occidental
912,1994-04-09 00:00:00,1994-04-09 00:00:00,Philippines,Storm,Tropical cyclone,15.0,105746.0,,1994-0034, Cebu
912,1994-04-09 00:00:00,1994-04-09 00:00:00,Philippines,Storm,Tropical cyclone,15.0,105746.0,,1994-0034, Surigao del Sur
912,1994-04-09 00:00:00,1994-04-09 00:00:00,Philippines,Storm,Tropical cyclone,15.0,105746.0,,1994-0034, Palawan
912,1994-04-09 00:00:00,1994-04-09 00:00:00,Philippines,Storm,Tropical cyclone,15.0,105746.0,,1994-0034, Calaian
913,1994-07-19 00:00:00,1994-07-19 00:00:00,Philippines,Storm,Tropical cyclone,11.0,420728.0,37.6,1994-0071,Pampanga
913,1994-07-19 00:00:00,1994-07-19 00:00:00,Philippines,Storm,Tropical cyclone,11.0,420728.0,37.6,1994-0071, Bulacan
913,1994-07-19 00:00:00,1994-07-19 00:00:00,Philippines,Storm,Tropical cyclone,11.0,420728.0,37.6,1994-0071, Bataan
913,1994-07-19 00:00:00,1994-07-19 00:00:00,Philippines,Storm,Tropical cyclone,11.0,420728.0,37.6,1994-0071, Zambales
913,1994-07-19 00:00:00,1994-07-19 00:00:00,Philippines,Storm,Tropical cyclone,11.0,420728.0,37.6,1994-0071, Tarlac
913,1994-07-19 00:00:00,1994-07-19 00:00:00,Philippines,Storm,Tropical cyclone,11.0,420728.0,37.6,1994-0071, Ilocos Sur
913,1994-07-19 00:00:00,1994-07-19 00:00:00,Philippines,Storm,Tropical cyclone,11.0,420728.0,37.6,1994-0071, Olongapo
913,1994-07-19 00:00:00,1994-07-19 00:00:00,Philippines,Storm,Tropical cyclone,11.0,420728.0,37.6,1994-0071, Angeles
914,1994-07-10 00:00:00,1994-07-16 00:00:00,Philippines,Storm,Tropical cyclone,17.0,166585.0,1.0,1994-0072,La Union
914,1994-07-10 00:00:00,1994-07-16 00:00:00,Philippines,Storm,Tropical cyclone,17.0,166585.0,1.0,1994-0072, Pangasinan
914,1994-07-10 00:00:00,1994-07-16 00:00:00,Philippines,Storm,Tropical cyclone,17.0,166585.0,1.0,1994-0072, Ilocos Sur
914,1994-07-10 00:00:00,1994-07-16 00:00:00,Philippines,Storm,Tropical cyclone,17.0,166585.0,1.0,1994-0072, Ilocos Norte provinces
914,1994-07-10 00:00:00,1994-07-16 00:00:00,Philippines,Storm,Tropical cyclone,17.0,166585.0,1.0,1994-0072, Laoag city 
914,1994-07-10 00:00:00,1994-07-16 00:00:00,Philippines,Storm,Tropical cyclone,17.0,166585.0,1.0,1994-0072,Luzon
915,1994-06-23 00:00:00,1994-06-23 00:00:00,Philippines,Storm,Tropical cyclone,2.0,23952.0,,1994-0073,Metro Manila
915,1994-06-23 00:00:00,1994-06-23 00:00:00,Philippines,Storm,Tropical cyclone,2.0,23952.0,,1994-0073, Aurora
915,1994-06-23 00:00:00,1994-06-23 00:00:00,Philippines,Storm,Tropical cyclone,2.0,23952.0,,1994-0073, Nueva Ecija
915,1994-06-23 00:00:00,1994-06-23 00:00:00,Philippines,Storm,Tropical cyclone,2.0,23952.0,,1994-0073, Pampanga
915,1994-06-23 00:00:00,1994-06-23 00:00:00,Philippines,Storm,Tropical cyclone,2.0,23952.0,,1994-0073, Tarlac
915,1994-06-23 00:00:00,1994-06-23 00:00:00,Philippines,Storm,Tropical cyclone,2.0,23952.0,,1994-0073, Zambales provinces 
915,1994-06-23 00:00:00,1994-06-23 00:00:00,Philippines,Storm,Tropical cyclone,2.0,23952.0,,1994-0073,Luzon
916,1994-08-02 00:00:00,1994-08-02 00:00:00,Philippines,Storm,Tropical cyclone,11.0,14000.0,,1994-0074,Pampanga
916,1994-08-02 00:00:00,1994-08-02 00:00:00,Philippines,Storm,Tropical cyclone,11.0,14000.0,,1994-0074, Zambales
916,1994-08-02 00:00:00,1994-08-02 00:00:00,Philippines,Storm,Tropical cyclone,11.0,14000.0,,1994-0074, Metro Manila 
916,1994-08-02 00:00:00,1994-08-02 00:00:00,Philippines,Storm,Tropical cyclone,11.0,14000.0,,1994-0074,Luzon
919,1994-09-10 00:00:00,1994-09-10 00:00:00,Philippines,Storm,Tropical cyclone,7.0,54674.0,3.9,1994-0215,Papoay
919,1994-09-10 00:00:00,1994-09-10 00:00:00,Philippines,Storm,Tropical cyclone,7.0,54674.0,3.9,1994-0215, San Nicolas
919,1994-09-10 00:00:00,1994-09-10 00:00:00,Philippines,Storm,Tropical cyclone,7.0,54674.0,3.9,1994-0215, Pasuquin municipalities 
919,1994-09-10 00:00:00,1994-09-10 00:00:00,Philippines,Storm,Tropical cyclone,7.0,54674.0,3.9,1994-0215,locos Norte province
919,1994-09-10 00:00:00,1994-09-10 00:00:00,Philippines,Storm,Tropical cyclone,7.0,54674.0,3.9,1994-0215, Cagayan province
920,1994-07-15 00:00:00,1994-07-15 00:00:00,Philippines,Storm,Tropical cyclone,39.0,,1.7,1994-0313,Pinatubo
920,1994-07-15 00:00:00,1994-07-15 00:00:00,Philippines,Storm,Tropical cyclone,39.0,,1.7,1994-0313, Luzon
922,1994-10-18 00:00:00,1994-10-22 00:00:00,Philippines,Storm,Tropical cyclone,32.0,258751.0,67.4,1994-0519,Arora
922,1994-10-18 00:00:00,1994-10-22 00:00:00,Philippines,Storm,Tropical cyclone,32.0,258751.0,67.4,1994-0519, Quezon
922,1994-10-18 00:00:00,1994-10-22 00:00:00,Philippines,Storm,Tropical cyclone,32.0,258751.0,67.4,1994-0519, Laguna
922,1994-10-18 00:00:00,1994-10-22 00:00:00,Philippines,Storm,Tropical cyclone,32.0,258751.0,67.4,1994-0519, Batangas
922,1994-10-18 00:00:00,1994-10-22 00:00:00,Philippines,Storm,Tropical cyclone,32.0,258751.0,67.4,1994-0519, Rizal
922,1994-10-18 00:00:00,1994-10-22 00:00:00,Philippines,Storm,Tropical cyclone,32.0,258751.0,67.4,1994-0519, Cavite
922,1994-10-18 00:00:00,1994-10-22 00:00:00,Philippines,Storm,Tropical cyclone,32.0,258751.0,67.4,1994-0519, Bulacan
922,1994-10-18 00:00:00,1994-10-22 00:00:00,Philippines,Storm,Tropical cyclone,32.0,258751.0,67.4,1994-0519, Bataan
922,1994-10-18 00:00:00,1994-10-22 00:00:00,Philippines,Storm,Tropical cyclone,32.0,258751.0,67.4,1994-0519, Oriental Mindoro
922,1994-10-18 00:00:00,1994-10-22 00:00:00,Philippines,Storm,Tropical cyclone,32.0,258751.0,67.4,1994-0519, Occidental Mindoro provinces 
922,1994-10-18 00:00:00,1994-10-22 00:00:00,Philippines,Storm,Tropical cyclone,32.0,258751.0,67.4,1994-0519,Luzon
923,1994-12-19 00:00:00,1994-12-23 00:00:00,Philippines,Storm,Tropical cyclone,49.0,867923.0,26.813,1994-0594,Leyte
923,1994-12-19 00:00:00,1994-12-23 00:00:00,Philippines,Storm,Tropical cyclone,49.0,867923.0,26.813,1994-0594, Cebu Isl.
923,1994-12-19 00:00:00,1994-12-23 00:00:00,Philippines,Storm,Tropical cyclone,49.0,867923.0,26.813,1994-0594, Surigao
923,1994-12-19 00:00:00,1994-12-23 00:00:00,Philippines,Storm,Tropical cyclone,49.0,867923.0,26.813,1994-0594, Luzon
923,1994-12-19 00:00:00,1994-12-23 00:00:00,Philippines,Storm,Tropical cyclone,49.0,867923.0,26.813,1994-0594, Iloilo
923,1994-12-19 00:00:00,1994-12-23 00:00:00,Philippines,Storm,Tropical cyclone,49.0,867923.0,26.813,1994-0594, Bacolod
924,1994-07-07 00:00:00,1994-07-07 00:00:00,Philippines,Storm,Tropical cyclone,3.0,5300.0,,1994-0756,Kalinga Apayao province
933,00/11/1994,00/11/1994,Somalia,Storm,Tropical cyclone,30.0,,,1994-0631,Northern
940,1994-04-23 00:00:00,1994-04-23 00:00:00,Tanzania,Storm,Tropical cyclone,4.0,2500.0,,1994-0105,Dar Es Salam
952,1995-11-25 00:00:00,1995-11-25 00:00:00,Bangladesh,Storm,Tropical cyclone,172.0,250000.0,,1995-0281,Gulf of Bengale
962,1995-06-03 00:00:00,1995-06-03 00:00:00,Cuba,Storm,Tropical cyclone,2.0,163.0,,1995-0102,Havana
964,1995-10-04 00:00:00,1995-10-05 00:00:00,Cuba,Storm,Tropical cyclone,,,2.0,1995-0244,
974,1995-06-03 00:00:00,1995-06-03 00:00:00,Honduras,Storm,Tropical cyclone,18.0,22.0,,1995-0117,Near Tegucigalpa
977,1995-11-10 00:00:00,1995-11-10 00:00:00,India,Storm,Tropical cyclone,128.0,,46.3,1995-0275,Orissa
977,1995-11-10 00:00:00,1995-11-10 00:00:00,India,Storm,Tropical cyclone,128.0,,46.3,1995-0275, Andra Pradesh
978,1995-10-20 00:00:00,1995-10-23 00:00:00,India,Storm,Tropical cyclone,94.0,12000.0,2.0,1995-0462,Andhra Pradesh
999,1995-08-01 00:00:00,1995-08-01 00:00:00,Laos,Storm,Tropical cyclone,26.0,1000000.0,,1995-0464,
1009,1995-10-09 00:00:00,1995-10-09 00:00:00,Nicaragua,Storm,Tropical cyclone,38.0,15085.0,,1995-0251,Chinandega
1009,1995-10-09 00:00:00,1995-10-09 00:00:00,Nicaragua,Storm,Tropical cyclone,38.0,15085.0,,1995-0251, Rivas provinces
1016,1995-08-28 00:00:00,1995-08-28 00:00:00,Philippines,Storm,Tropical cyclone,6.0,195886.0,,1995-0187,Regions I
1016,1995-08-28 00:00:00,1995-08-28 00:00:00,Philippines,Storm,Tropical cyclone,6.0,195886.0,,1995-0187, II
1016,1995-08-28 00:00:00,1995-08-28 00:00:00,Philippines,Storm,Tropical cyclone,6.0,195886.0,,1995-0187, III
1016,1995-08-28 00:00:00,1995-08-28 00:00:00,Philippines,Storm,Tropical cyclone,6.0,195886.0,,1995-0187, IV
1016,1995-08-28 00:00:00,1995-08-28 00:00:00,Philippines,Storm,Tropical cyclone,6.0,195886.0,,1995-0187, V
1016,1995-08-28 00:00:00,1995-08-28 00:00:00,Philippines,Storm,Tropical cyclone,6.0,195886.0,,1995-0187, Metro Manilla
1019,1995-10-09 00:00:00,1995-10-26 00:00:00,Philippines,Storm,Tropical cyclone,184.0,864437.0,38.1,1995-0247,Pampanga
1019,1995-10-09 00:00:00,1995-10-26 00:00:00,Philippines,Storm,Tropical cyclone,184.0,864437.0,38.1,1995-0247, Pangasinan
1019,1995-10-09 00:00:00,1995-10-26 00:00:00,Philippines,Storm,Tropical cyclone,184.0,864437.0,38.1,1995-0247, Bulacan
1019,1995-10-09 00:00:00,1995-10-26 00:00:00,Philippines,Storm,Tropical cyclone,184.0,864437.0,38.1,1995-0247, Laguna
1019,1995-10-09 00:00:00,1995-10-26 00:00:00,Philippines,Storm,Tropical cyclone,184.0,864437.0,38.1,1995-0247, Marinduque
1019,1995-10-09 00:00:00,1995-10-26 00:00:00,Philippines,Storm,Tropical cyclone,184.0,864437.0,38.1,1995-0247, Quezon
1019,1995-10-09 00:00:00,1995-10-26 00:00:00,Philippines,Storm,Tropical cyclone,184.0,864437.0,38.1,1995-0247, Barangas
1019,1995-10-09 00:00:00,1995-10-26 00:00:00,Philippines,Storm,Tropical cyclone,184.0,864437.0,38.1,1995-0247, Cavite
1019,1995-10-09 00:00:00,1995-10-26 00:00:00,Philippines,Storm,Tropical cyclone,184.0,864437.0,38.1,1995-0247, Albay
1019,1995-10-09 00:00:00,1995-10-26 00:00:00,Philippines,Storm,Tropical cyclone,184.0,864437.0,38.1,1995-0247, Antique
1019,1995-10-09 00:00:00,1995-10-26 00:00:00,Philippines,Storm,Tropical cyclone,184.0,864437.0,38.1,1995-0247, Cebu
1019,1995-10-09 00:00:00,1995-10-26 00:00:00,Philippines,Storm,Tropical cyclone,184.0,864437.0,38.1,1995-0247, Leyte
1019,1995-10-09 00:00:00,1995-10-26 00:00:00,Philippines,Storm,Tropical cyclone,184.0,864437.0,38.1,1995-0247, Siquijor
1019,1995-10-09 00:00:00,1995-10-26 00:00:00,Philippines,Storm,Tropical cyclone,184.0,864437.0,38.1,1995-0247, Bukidnon provinces
1019,1995-10-09 00:00:00,1995-10-26 00:00:00,Philippines,Storm,Tropical cyclone,184.0,864437.0,38.1,1995-0247,National Capital region
1020,1995-11-03 00:00:00,1995-11-03 00:00:00,Philippines,Storm,Tropical cyclone,882.0,1599588.0,244.0,1995-0271,Luzon
1020,1995-11-03 00:00:00,1995-11-03 00:00:00,Philippines,Storm,Tropical cyclone,882.0,1599588.0,244.0,1995-0271, Visayas
1020,1995-11-03 00:00:00,1995-11-03 00:00:00,Philippines,Storm,Tropical cyclone,882.0,1599588.0,244.0,1995-0271, Calauag
1021,1995-10-28 00:00:00,1995-11-01 00:00:00,Philippines,Storm,Tropical cyclone,146.0,348053.0,30.0,1995-0272,Leyte
1021,1995-10-28 00:00:00,1995-11-01 00:00:00,Philippines,Storm,Tropical cyclone,146.0,348053.0,30.0,1995-0272, Samar
1021,1995-10-28 00:00:00,1995-11-01 00:00:00,Philippines,Storm,Tropical cyclone,146.0,348053.0,30.0,1995-0272, Central Visayas
1021,1995-10-28 00:00:00,1995-11-01 00:00:00,Philippines,Storm,Tropical cyclone,146.0,348053.0,30.0,1995-0272, Panays Islands
1021,1995-10-28 00:00:00,1995-11-01 00:00:00,Philippines,Storm,Tropical cyclone,146.0,348053.0,30.0,1995-0272, Palawan
1027,1995-07-29 00:00:00,1995-07-31 00:00:00,Philippines,Storm,Tropical cyclone,,20000.0,5.0,1995-0486,Pampanga
1027,1995-07-29 00:00:00,1995-07-31 00:00:00,Philippines,Storm,Tropical cyclone,,20000.0,5.0,1995-0486, Zambales
1027,1995-07-29 00:00:00,1995-07-31 00:00:00,Philippines,Storm,Tropical cyclone,,20000.0,5.0,1995-0486, Tarlac 
1027,1995-07-29 00:00:00,1995-07-31 00:00:00,Philippines,Storm,Tropical cyclone,,20000.0,5.0,1995-0486,Luzon province
1037,1996-05-12 00:00:00,1996-05-14 00:00:00,Bangladesh,Storm,Tropical cyclone,525.0,118291.0,,1996-0086,Gopalpur
1037,1996-05-12 00:00:00,1996-05-14 00:00:00,Bangladesh,Storm,Tropical cyclone,525.0,118291.0,,1996-0086, Basail
1037,1996-05-12 00:00:00,1996-05-14 00:00:00,Bangladesh,Storm,Tropical cyclone,525.0,118291.0,,1996-0086, Kalihati
1037,1996-05-12 00:00:00,1996-05-14 00:00:00,Bangladesh,Storm,Tropical cyclone,525.0,118291.0,,1996-0086, Shokipur
1037,1996-05-12 00:00:00,1996-05-14 00:00:00,Bangladesh,Storm,Tropical cyclone,525.0,118291.0,,1996-0086, Mirzapur
1037,1996-05-12 00:00:00,1996-05-14 00:00:00,Bangladesh,Storm,Tropical cyclone,525.0,118291.0,,1996-0086, Ghatail 
1037,1996-05-12 00:00:00,1996-05-14 00:00:00,Bangladesh,Storm,Tropical cyclone,525.0,118291.0,,1996-0086,Tangail district
1037,1996-05-12 00:00:00,1996-05-14 00:00:00,Bangladesh,Storm,Tropical cyclone,525.0,118291.0,,1996-0086, Thanas of Madarganj
1037,1996-05-12 00:00:00,1996-05-14 00:00:00,Bangladesh,Storm,Tropical cyclone,525.0,118291.0,,1996-0086, Bakhiganj
1037,1996-05-12 00:00:00,1996-05-14 00:00:00,Bangladesh,Storm,Tropical cyclone,525.0,118291.0,,1996-0086, Sarishabari 
1037,1996-05-12 00:00:00,1996-05-14 00:00:00,Bangladesh,Storm,Tropical cyclone,525.0,118291.0,,1996-0086,Jamalpur district
1042,1996-10-29 00:00:00,1996-10-29 00:00:00,Bangladesh,Storm,Tropical cyclone,24.0,100.0,,1996-0351,Chittagong
1042,1996-10-29 00:00:00,1996-10-29 00:00:00,Bangladesh,Storm,Tropical cyclone,24.0,100.0,,1996-0351, Patuakhali
1042,1996-10-29 00:00:00,1996-10-29 00:00:00,Bangladesh,Storm,Tropical cyclone,24.0,100.0,,1996-0351, Pirojpur
1052,1996-10-17 00:00:00,1996-10-18 00:00:00,Cuba,Storm,Tropical cyclone,,336676.0,13.0,1996-0231,Sancti Spiritus
1052,1996-10-17 00:00:00,1996-10-18 00:00:00,Cuba,Storm,Tropical cyclone,,336676.0,13.0,1996-0231, Pinar del Rio
1052,1996-10-17 00:00:00,1996-10-18 00:00:00,Cuba,Storm,Tropical cyclone,,336676.0,13.0,1996-0231, Havana
1052,1996-10-17 00:00:00,1996-10-18 00:00:00,Cuba,Storm,Tropical cyclone,,336676.0,13.0,1996-0231, Matanzas
1052,1996-10-17 00:00:00,1996-10-18 00:00:00,Cuba,Storm,Tropical cyclone,,336676.0,13.0,1996-0231, Villa Clara
1052,1996-10-17 00:00:00,1996-10-18 00:00:00,Cuba,Storm,Tropical cyclone,,336676.0,13.0,1996-0231, Cinfuegos provinces
1056,1996-07-26 00:00:00,1996-07-26 00:00:00,El Salvador,Storm,Tropical cyclone,12.0,,0.01,1996-0172,Coast
1059,1996-07-28 00:00:00,1996-07-30 00:00:00,Guatemala,Storm,Tropical cyclone,,,0.5,1996-0172,
1063,1996-11-09 00:00:00,1996-11-21 00:00:00,Haiti,Storm,Tropical cyclone,26.0,,0.1,1996-0502,
1064,1996-07-28 00:00:00,1996-07-30 00:00:00,Honduras,Storm,Tropical cyclone,,,0.5,1996-0172,
1066,1996-11-09 00:00:00,1996-11-21 00:00:00,Honduras,Storm,Tropical cyclone,1.0,,1.0,1996-0502,
1067,1996-06-14 00:00:00,1996-06-16 00:00:00,India,Storm,Tropical cyclone,731.0,1842100.0,,1996-0106,Andhra Pradesh
1067,1996-06-14 00:00:00,1996-06-16 00:00:00,India,Storm,Tropical cyclone,731.0,1842100.0,,1996-0106, Karnataka
1067,1996-06-14 00:00:00,1996-06-16 00:00:00,India,Storm,Tropical cyclone,731.0,1842100.0,,1996-0106, Kerala
1067,1996-06-14 00:00:00,1996-06-16 00:00:00,India,Storm,Tropical cyclone,731.0,1842100.0,,1996-0106, West Begal
